"","species","sex","body_mass_g"
"1","Gentoo penguin (Pygoscelis papua)","FEMALE",4500
"2","Gentoo penguin (Pygoscelis papua)","MALE",5700
"3","Gentoo penguin (Pygoscelis papua)","FEMALE",4450
"4","Gentoo penguin (Pygoscelis papua)","MALE",5700
"5","Gentoo penguin (Pygoscelis papua)","MALE",5400
"6","Gentoo penguin (Pygoscelis papua)","FEMALE",4550
"7","Gentoo penguin (Pygoscelis papua)","FEMALE",4800
"8","Gentoo penguin (Pygoscelis papua)","MALE",5200
"9","Gentoo penguin (Pygoscelis papua)","FEMALE",4400
"10","Gentoo penguin (Pygoscelis papua)","MALE",5150
"11","Gentoo penguin (Pygoscelis papua)","FEMALE",4650
"12","Gentoo penguin (Pygoscelis papua)","MALE",5550
"13","Gentoo penguin (Pygoscelis papua)","FEMALE",4650
"14","Gentoo penguin (Pygoscelis papua)","MALE",5850
"15","Gentoo penguin (Pygoscelis papua)","FEMALE",4200
"16","Gentoo penguin (Pygoscelis papua)","MALE",5850
"17","Gentoo penguin (Pygoscelis papua)","FEMALE",4150
"18","Gentoo penguin (Pygoscelis papua)","MALE",6300
"19","Gentoo penguin (Pygoscelis papua)","FEMALE",4800
"20","Gentoo penguin (Pygoscelis papua)","MALE",5350
"21","Gentoo penguin (Pygoscelis papua)","MALE",5700
"22","Gentoo penguin (Pygoscelis papua)","FEMALE",5000
"23","Gentoo penguin (Pygoscelis papua)","FEMALE",4400
"24","Gentoo penguin (Pygoscelis papua)","MALE",5050
"25","Gentoo penguin (Pygoscelis papua)","FEMALE",5000
"26","Gentoo penguin (Pygoscelis papua)","MALE",5100
"27","Gentoo penguin (Pygoscelis papua)","MALE",5650
"28","Gentoo penguin (Pygoscelis papua)","FEMALE",4600
"29","Gentoo penguin (Pygoscelis papua)","MALE",5550
"30","Gentoo penguin (Pygoscelis papua)","MALE",5250
"31","Gentoo penguin (Pygoscelis papua)","FEMALE",4700
"32","Gentoo penguin (Pygoscelis papua)","FEMALE",5050
"33","Gentoo penguin (Pygoscelis papua)","MALE",6050
"34","Gentoo penguin (Pygoscelis papua)","FEMALE",5150
"35","Gentoo penguin (Pygoscelis papua)","MALE",5400
"36","Gentoo penguin (Pygoscelis papua)","FEMALE",4950
"37","Gentoo penguin (Pygoscelis papua)","MALE",5250
"38","Gentoo penguin (Pygoscelis papua)","FEMALE",4350
"39","Gentoo penguin (Pygoscelis papua)","MALE",5350
"40","Gentoo penguin (Pygoscelis papua)","FEMALE",3950
"41","Gentoo penguin (Pygoscelis papua)","MALE",5700
"42","Gentoo penguin (Pygoscelis papua)","FEMALE",4300
"43","Gentoo penguin (Pygoscelis papua)","MALE",4750
"44","Gentoo penguin (Pygoscelis papua)","MALE",5550
"45","Gentoo penguin (Pygoscelis papua)","FEMALE",4900
"46","Gentoo penguin (Pygoscelis papua)","FEMALE",4200
"47","Gentoo penguin (Pygoscelis papua)","MALE",5400
"48","Gentoo penguin (Pygoscelis papua)","FEMALE",5100
"49","Gentoo penguin (Pygoscelis papua)","MALE",5300
"50","Gentoo penguin (Pygoscelis papua)","FEMALE",4850
"51","Gentoo penguin (Pygoscelis papua)","MALE",5300
"52","Gentoo penguin (Pygoscelis papua)","FEMALE",4400
"53","Gentoo penguin (Pygoscelis papua)","MALE",5000
"54","Gentoo penguin (Pygoscelis papua)","FEMALE",4900
"55","Gentoo penguin (Pygoscelis papua)","MALE",5050
"56","Gentoo penguin (Pygoscelis papua)","FEMALE",4300
"57","Gentoo penguin (Pygoscelis papua)","MALE",5000
"58","Gentoo penguin (Pygoscelis papua)","FEMALE",4450
"59","Gentoo penguin (Pygoscelis papua)","MALE",5550
"60","Gentoo penguin (Pygoscelis papua)","FEMALE",4200
"61","Gentoo penguin (Pygoscelis papua)","MALE",5300
"62","Gentoo penguin (Pygoscelis papua)","FEMALE",4400
"63","Gentoo penguin (Pygoscelis papua)","MALE",5650
"64","Gentoo penguin (Pygoscelis papua)","FEMALE",4700
"65","Gentoo penguin (Pygoscelis papua)","MALE",5700
"66","Gentoo penguin (Pygoscelis papua)","MALE",5800
"67","Gentoo penguin (Pygoscelis papua)","FEMALE",4700
"68","Gentoo penguin (Pygoscelis papua)","MALE",5550
"69","Gentoo penguin (Pygoscelis papua)","FEMALE",4750
"70","Gentoo penguin (Pygoscelis papua)","MALE",5000
"71","Gentoo penguin (Pygoscelis papua)","MALE",5100
"72","Gentoo penguin (Pygoscelis papua)","FEMALE",5200
"73","Gentoo penguin (Pygoscelis papua)","FEMALE",4700
"74","Gentoo penguin (Pygoscelis papua)","MALE",5800
"75","Gentoo penguin (Pygoscelis papua)","FEMALE",4600
"76","Gentoo penguin (Pygoscelis papua)","MALE",6000
"77","Gentoo penguin (Pygoscelis papua)","FEMALE",4750
"78","Gentoo penguin (Pygoscelis papua)","MALE",5950
"79","Gentoo penguin (Pygoscelis papua)","FEMALE",4625
"80","Gentoo penguin (Pygoscelis papua)","MALE",5450
"81","Gentoo penguin (Pygoscelis papua)","FEMALE",4725
"82","Gentoo penguin (Pygoscelis papua)","MALE",5350
"83","Gentoo penguin (Pygoscelis papua)","FEMALE",4750
"84","Gentoo penguin (Pygoscelis papua)","MALE",5600
"85","Gentoo penguin (Pygoscelis papua)","FEMALE",4600
"86","Gentoo penguin (Pygoscelis papua)","MALE",5300
"87","Gentoo penguin (Pygoscelis papua)","FEMALE",4875
"88","Gentoo penguin (Pygoscelis papua)","MALE",5550
"89","Gentoo penguin (Pygoscelis papua)","FEMALE",4950
"90","Gentoo penguin (Pygoscelis papua)","MALE",5400
"91","Gentoo penguin (Pygoscelis papua)","FEMALE",4750
"92","Gentoo penguin (Pygoscelis papua)","MALE",5650
"93","Gentoo penguin (Pygoscelis papua)","FEMALE",4850
"94","Gentoo penguin (Pygoscelis papua)","MALE",5200
"95","Gentoo penguin (Pygoscelis papua)","MALE",4925
"96","Gentoo penguin (Pygoscelis papua)","FEMALE",4875
"97","Gentoo penguin (Pygoscelis papua)","FEMALE",4625
"98","Gentoo penguin (Pygoscelis papua)","MALE",5250
"99","Gentoo penguin (Pygoscelis papua)","FEMALE",4850
"100","Gentoo penguin (Pygoscelis papua)","MALE",5600
"101","Gentoo penguin (Pygoscelis papua)","FEMALE",4975
"102","Gentoo penguin (Pygoscelis papua)","MALE",5500
"103","Gentoo penguin (Pygoscelis papua)","MALE",5500
"104","Gentoo penguin (Pygoscelis papua)","FEMALE",4700
"105","Gentoo penguin (Pygoscelis papua)","MALE",5500
"106","Gentoo penguin (Pygoscelis papua)","FEMALE",4575
"107","Gentoo penguin (Pygoscelis papua)","MALE",5500
"108","Gentoo penguin (Pygoscelis papua)","FEMALE",5000
"109","Gentoo penguin (Pygoscelis papua)","MALE",5950
"110","Gentoo penguin (Pygoscelis papua)","FEMALE",4650
"111","Gentoo penguin (Pygoscelis papua)","MALE",5500
"112","Gentoo penguin (Pygoscelis papua)","FEMALE",4375
"113","Gentoo penguin (Pygoscelis papua)","MALE",5850
"114","Gentoo penguin (Pygoscelis papua)","MALE",6000
"115","Gentoo penguin (Pygoscelis papua)","FEMALE",4925
"116","Gentoo penguin (Pygoscelis papua)","FEMALE",4850
"117","Gentoo penguin (Pygoscelis papua)","MALE",5750
"118","Gentoo penguin (Pygoscelis papua)","FEMALE",5200
"119","Gentoo penguin (Pygoscelis papua)","MALE",5400
